turma,periodo,professor,horario,vagas_ocupadas,total_vagas,local,cod_disciplina,cod_depto
01,2022.1,TANIA CRISTINA DA SILVA CRUZ (30h),6T2345,0,40,Local à definir.,CDT1101,643
01,2022.1,JONATHAS FELIPE AIRES FERREIRA (30h),6T2345,0,40,Local à definir.,CDT1101,643
01,2022.1,LAURA ANGELICA FERREIRA DARNET (60h),35T45,0,27,BSA S B1 34/13 (56),CDS0004,640
01,2022.1,MAURO GUILHERME MAIDANA CAPPELLARO (60h),36N12,0,57,ICC AT 158/19 (50),CDS0007,640
02,2022.1,MAURO GUILHERME MAIDANA CAPPELLARO (60h),35N34,0,40,BSA S B1 54/10 (68),CDS0007,640
04,2022.1,CRISTIANE GOMES BARRETO (60h),4T2345,0,17,CDS - AUDITÓRIO CERRADO,CDS0007,640
05,2022.1,LAURA ANGELICA FERREIRA DARNET (60h),4T2345,0,15,CDS - AUDITÓRIO CERRADO,CDS0007,640
01,2022.1,DORIS ALEIDA VILLAMIZAR SAYAGO (60h),35N34,0,40,BSA S B1 47/10 (68),CDS0008,640
01,2022.1,ANA KARINE PEREIRA (30h),7M34,0,40,BSA S B2 26/14 (36),CDS0010,640
02,2022.1,ANA KARINE PEREIRA (30h),7M12,0,5,BSA S B2 21/09 (15),CDS0010,640
01,2022.1,FREDERIC ADELIN GEORGES MERTENS (60h),3T2345,0,25,CDS - SALA ARATICUM,CDS0011,640
01,2022.1,ANA KARINE PEREIRA (60h),35N34,0,25,BSA S B2 19/9,CDS0012,640
01,2022.1,STEPHANIE CAROLINE NASUTI (60h),35N12,0,35,ICC AT 092,CDS0013,640
01,2022.1,SAULO RODRIGUES PEREIRA FILHO (60h),35N12,0,25,BSA S B2 34/10,CDS0015,640
01,2022.1,MAURICIO DE CARVALHO AMAZONAS (60h),35N34,0,25,BSA S B2 33/9,CDS0019,640
01,2022.1,MARIANA TOMAZIN (60h),4T2345,0,40,CET - Módulo B sala 2,CET0001,314
